Country,Iso3,Pop_2025,Pop_2100,Change_Abs,Change_Pct
Group B: Central and Southern Asia,DA12,116443833.0,101985128.5,-14458704.5,-12.416891584116781
Group B: Eastern and South-Eastern Asia,DA13,189612968.5,165370319.0,-24242649.5,-12.785333034855157
"Group B: Europe, Northern America, Australia and New Zealand",DA16,62824816.5,59780965.0,-3043851.5,-4.844982714752537
Group B: Latin America and the Caribbean,DA14,346352401.0,272939625.5,-73412775.5,-21.19597707076383
Group B: Northern Africa and Western Asia,DA11,111802466.0,87287367.0,-24515099.0,-21.9271540933632
Group B: Oceania (excluding Australia and New Zealand),DA15,1215619.5,1066239.5,-149380.0,-12.288384646676036
Group B: Sub-Saharan Africa,DA10,1542509.5,1385118.0,-157391.5,-10.20360004265776
Group C: Central and Southern Asia,DA20,2052361681.5,2537272179.0,484910497.5,23.626951422402104
Group C: Eastern and South-Eastern Asia,DA21,469609011.0,493711302.5,24102291.5,5.132416741466658
"Group C: Europe, Northern America, Australia and New Zealand",DA24,567342776.0,678956918.0,111614142.0,19.67314059886787
Group C: Latin America and the Caribbean,DA22,299912550.5,329816740.0,29904189.5,9.970969687712351
Group C: Northern Africa and Western Asia,DA19,472037984.5,895089358.0,423051373.5,89.62231587106525
Group C: Oceania (excluding Australia and New Zealand),DA23,12998308.5,22797469.0,9799160.5,75.38796682660671
Group C: Sub-Saharan Africa,DA18,1270749339.0,3349489201.0,2078739862.0,163.58378463811266
Guadeloupe,GLP,373791.0,244456.5,-129334.5,-34.60075282711462
Guam,GUM,168998.5,205502.0,36503.5,21.59989585706382
Guatemala,GTM,18687881.5,25912091.0,7224209.5,38.657188082019886
Guernsey,GGY,64476.5,52909.5,-11567.0,-17.93986956488023
Guinea,GIN,15099727.0,32007046.5,16907319.5,111.9710276881165
Guinea-Bissau,GNB,2249515.0,4665484.5,2415969.5,107.39957279680286
Guyana,GUY,835986.0,888952.5,52966.5,6.33581184373901
Haiti,HTI,11906095.5,15151093.0,3244997.5,27.254925848696576
High-and-upper-middle-income countries,HUM,4088855130.0,3278514613.0,-810340517.0,-19.81827409473419
High-income countries,HIC,1267864235.0,1252363672.0,-15500563.0,-1.2225727780703586
Honduras,HND,11005849.5,17029976.5,6024127.0,54.735683965149626
Hungary,HUN,9632287.0,7460742.5,-2171544.5,-22.54443311334058
Iceland,ISL,398266.0,362582.5,-35683.5,-8.959715366112096
India,IND,1463865524.5,1505251760.5,41386236.0,2.8271883794883372
Indonesia,IDN,285721235.5,295511061.0,9789825.5,3.426355581470247
Iran (Islamic Republic of),IRN,92417681.0,80045291.0,-12372390.0,-13.387470737336507
Iraq,IRQ,47020774.0,100649056.0,53628282.0,114.0523165356657
Ireland,IRL,5308039.0,5286120.0,-21919.0,-0.4129396939246302
Isle of Man,IMN,84118.5,58064.5,-26054.0,-30.97297265167591
Israel,ISR,9517180.5,19747040.0,10229859.5,107.48834174154835
Italy,ITA,59146260.0,35376821.5,-23769438.5,-40.18755961915428
Jamaica,JAM,2837077.5,1066774.5,-1770303.0,-62.398824142096935
Japan,JPN,123103479.0,76845989.0,-46257490.0,-37.576102946692515
Jersey,JEY,103988.5,99810.0,-4178.5,-4.018232785356073
Jordan,JOR,11520684.5,21322925.5,9802241.0,85.08384202344922
Kazakhstan,KAZ,20843754.5,33672180.5,12828426.0,61.545658676799334
Kenya,KEN,57532492.5,104195500.5,46663008.0,81.10722475651477
Kiribati,KIR,136488.5,222645.0,86156.5,63.12363312660041
Kosovo (under UNSC res. 1244),XKX,1674125.0,1094725.5,-579399.5,-34.6090943029941
Kuwait,KWT,5026077.5,9602014.5,4575937.0,91.04390053675058
Kyrgyzstan,KGZ,7295034.5,11729827.0,4434792.5,60.79193319784848
LLDC: Africa,LLD,398975704.0,1060190923.5,661215219.5,165.72819168457437
LLDC: Asia,LLD,182596931.5,339127939.0,156531007.5,85.72488388174256
LLDC: Europe,LLD,4809896.5,2350718.0,-2459178.5,-51.12747228552631
LLDC: Latin America,LLD,19594920.0,26808553.0,7213633.0,36.81379153372405
Land-locked Developing Countries (LLDC),LLD,605977452.0,1428478133.5,822500681.5,135.73123534306026
Lao People's Dem. Republic,LAO,7873045.5,9256278.0,1383232.5,17.56921765535332
Latin America and the Caribbean,LCN,667888552.0,613447218.0,-54441334.0,-8.151260241993189
Latvia,LVA,1853559.0,925371.0,-928188.0,-50.07598894882763
Least developed countries,LDC,1215537741.0,3050648492.5,1835110751.5,150.9711043599756
Lebanon,LBN,5849420.5,7192592.5,1343172.0,22.96247978752767
Lesotho,LSO,2363324.5,3259299.0,895974.5,37.91161560759007
"Less developed regions, excluding least developed countries",ODR,5728818690.0,5936493623.0,207674933.0,3.625091737717397
Liberia,LBR,5731206.0,12665394.5,6934188.5,120.99004118853868
Libya,LBY,7458554.5,9783568.5,2325014.0,31.172447690769033
Liechtenstein,LIE,40128.0,43598.0,3470.0,8.647328548644339
Lithuania,LTU,2830144.5,1208675.0,-1621469.5,-57.29281667420162
Low-and-Lower-middle-income countries,LLM,4113177871.0,6872222092.5,2759044221.5,67.0781645732529
Low-and-middle-income countries,LMC,6934168766.0,8898373033.5,1964204267.5,28.326456043743775
Low-income countries,LIC,777211775.5,2151929819.5,1374718044.0,176.87818009648774
Lower-middle-income countries,LMC,3335966095.5,4720292273.0,1384326177.5,41.497009797772385
Luxembourg,LUX,680453.5,747990.5,67537.0,9.925292470389232
Madagascar,MDG,32740678.0,85341147.5,52600469.5,160.65785045746458
Malawi,MWI,22216119.5,59141258.0,36925138.5,166.2087679173674
Malaysia,MYS,35977838.0,44026121.5,8048283.5,22.37011434650409
Maldives,MDV,529676.0,474919.0,-54757.0,-10.337829163488625
Mali,MLI,25198821.5,79354047.5,54155226.0,214.91174101138023
Malta,MLT,545405.0,359931.5,-185473.5,-34.00656392955693
Marshall Islands,MHL,36282.0,23805.5,-12476.5,-34.387575106113225
Martinique,MTQ,340439.0,209808.0,-130631.0,-38.3713381839331
Mauritania,MRT,5315064.5,17118469.5,11803405.0,222.0745392647634
Mauritius,MUS,1268279.5,581716.0,-686563.5,-54.13345402176728
Mayotte,MYT,337011.0,1375550.5,1038539.5,308.1618997599485
Melanesia,MEL,13165119.0,22581827.0,9416708.0,71.52770894057244
Mexico,MEX,131946900.0,130248836.0,-1698064.0,-1.2869298179798085
Micronesia,MCN,528680.5,653495.0,124814.5,23.608682370543267
Micronesia (Fed. States of),FSM,113683.0,128142.0,14459.0,12.718700245419278
Middle Africa,MIA,219525087.0,790422667.0,570897580.0,260.0602909680204
Middle-income countries,MIC,6156956990.5,6746443214.0,589486223.5,9.574311212658454
Monaco,MCO,38341.0,47489.0,9148.0,23.859575910904777
Mongolia,MNG,3517100.0,5519345.0,2002245.0,56.92886184640755
Montenegro,MNE,632729.0,326015.0,-306714.0,-48.47478146252187
Montserrat,MSR,4359.5,2782.5,-1577.0,-36.173873150590666
Morocco,MAR,38430770.0,37884370.0,-546400.0,-1.4217773934792355
Mozambique,MOZ,35631653.0,104346533.5,68714880.5,192.8478605805911
Myanmar,MMR,54850648.0,49658881.5,-5191766.5,-9.465278331807493
Namibia,NAM,3092816.5,5897944.0,2805127.5,90.69815490185078
Nauru,NRU,12025.5,20663.5,8638.0,71.83069311047358
Nepal,NPL,29618117.5,31831433.5,2213316.0,7.472844957144896
Netherlands,NLD,18346819.0,17507517.5,-839301.5,-4.5746431574868645
New Caledonia,NCL,295333.0,337221.0,41888.0,14.183311719313451
New Zealand,NZL,5251899.0,5812293.5,560394.5,10.670321344717406
Nicaragua,NIC,7007502.0,8611722.0,1604220.0,22.892893929962487
Niger,NER,27917831.0,90819274.0,62901443.0,225.30920471579617
Nigeria,NGA,237527781.5,476747781.0,239219999.5,100.7124295058513
Niue,NIU,1820.5,2393.5,573.0,31.474869541334797
No income group available,NIG,29206278.0,29179589.5,-26688.5,-0.09137932604763949
North Macedonia,MKD,1813791.0,862997.0,-950794.0,-52.4202623124715
Northern Africa,NAF,276302254.5,462424933.0,186122678.5,67.36198328776214
Northern Africa and Western Asia,NAW,590599486.0,987038326.0,396438840.0,67.12481967855962
Northern America,NAC,387528403.0,474966034.0,87437631.0,22.56289611886848
Northern Europe,NEU,109499697.5,110432485.0,932787.5,0.8518630839139989
Northern Mariana Islands,MNP,43540.5,41611.0,-1929.5,-4.431506298733363
Norway,NOR,5623071.0,5413618.0,-209453.0,-3.7248862765559956
Oceania,OCE,46609644.0,72945697.0,26336053.0,56.50344164825631
Oceania (excluding Australia and New Zealand),OCA,14383719.0,23989719.0,9606000.0,66.78384081335294
Oman,OMN,5494691.0,12094996.5,6600305.5,120.12150455776312
Pakistan,PAK,255219554.5,511000618.5,255781064.0,100.22001037541972
Palau,PLW,17662.5,11126.0,-6536.5,-37.00778485491861
Panama,PAN,4571189.0,5904927.0,1333738.0,29.177047809661776
Papua New Guinea,PNG,10762817.0,18640541.5,7877724.5,73.19389059574273
Paraguay,PRY,7013077.5,9047989.0,2034911.5,29.015956261712496
Peru,PER,34576665.0,38163318.5,3586653.5,10.373046388366259
Philippines,PHL,116786962.5,114221909.5,-2565053.0,-2.1963521827190258
Poland,POL,38140909.5,19329838.5,-18811071.0,-49.31993297118413
Polynesia,PLY,689919.5,754397.0,64477.5,9.345655543871423
Portugal,PRT,10411833.5,8753987.0,-1657846.5,-15.922714284664655
Puerto Rico,PRI,3235289.5,995625.5,-2239664.0,-69.22607698630988
Qatar,QAT,3115888.5,7272256.0,4156367.5,133.39269039954414
Republic of Korea,KOR,51667029.5,21848791.0,-29818238.5,-57.71231438803734
Republic of Moldova,MDA,2996105.5,1487721.0,-1508384.5,-50.3448393255845
Romania,ROU,18908650.5,10768185.0,-8140465.5,-43.05154140957865
Russian Federation,RUS,143997393.0,126386515.5,-17610877.5,-12.229997455578935
Rwanda,RWA,14569340.5,32779346.0,18210005.5,124.98853671516565
Réunion,REU,882405.5,852214.0,-30191.5,-3.421499526011567
"SIDS Atlantic, Indian Ocean and South China Sea (AIS)",SID,11701426.0,12863083.5,1161657.5,9.927486615733844
SIDS Caribbean,SID,46518100.5,39369140.0,-7148960.5,-15.36812643499921
